id,filename,category,rows,bytes,sha256,source
FR9,1551_FR9_Baseline_Outputs.csv,FR1–FR12 outputs,169,67460,0a79135e0705fc329e4bdac9014773a62f83d1e9410d76173efa584baa83fd8d,"Exact saved release records; presentation export, no new model estimation."
FR10,1551_FR10_Baseline_Outputs.csv,FR1–FR12 outputs,171,75033,70468cf798b9e7a21b53a4ffb60036c4da4abbb2541b9cad17335cb65da1bfb2,"Exact saved release records; presentation export, no new model estimation."
FR11,1551_FR11_Baseline_Outputs.csv,FR1–FR12 outputs,1676,701699,3682f5ffe3f2460488293a15ee77c7b7a3e185e8193c6be65d287af2024e060c,"Exact saved release records; presentation export, no new model estimation."
FR12,1551_FR12_Baseline_Outputs.csv,FR1–FR12 outputs,1470,599992,c8ef8ae437740bc78ac03789edf4cb3fec071430dc93847ef0f0cd1862c2c3e7,"Exact saved release records; presentation export, no new model estimation."
ministry_macro|acg_volume_plus10,1551_Ministry_Macro_ACG_Plus10.csv,Saved scenarios,10448,3776368,64ca79b0462c7b4554f472ad787ba72be87674bf7193d6b71d99d4e9c4d39398,"Exact saved release records; presentation export, no new model estimation."
ministry_caem|oil_plus10,1551_Ministry_CAEM_Oil_Plus10.csv,Saved scenarios,1259,708921,4adf684dd041fc1dfd2effb9ec76a01d3bb6141af599398f244c75090893f149,"Exact saved release records; presentation export, no new model estimation."
ministry_caem|partner_minus1,1551_Ministry_CAEM_Partner_Minus1.csv,Saved scenarios,1259,713942,9be0d719bf75280838eeab64c0249d5779ef890fe3a4187dad5e93dc603c8998,"Exact saved release records; presentation export, no new model estimation."
ministry_caem|wages_plus10,1551_Ministry_CAEM_Compensation_Plus10.csv,Saved scenarios,1259,711417,0b7eb1ea3e38796de0df6bab91bf60a80fcfba074ab79149b31315307ecb4250,"Exact saved release records; presentation export, no new model estimation."
cpi,1551_CPI_2025_Reconciliation.csv,Definitions and audit,4,1567,2395f83982b9f33a32a6b0f1900dcba368cc64a9ddbac30fda855f124e4ad5fe,"Exact saved release records; presentation export, no new model estimation."
caem-cpi,1551_CAEM_CPI_2025_Contributions.csv,Definitions and audit,6,529,17a886bd0ed1d4e1c352866ceeb48a339d8cd6b4d26387cb1f0eae67f7e644cd,"Exact saved release records; presentation export, no new model estimation."
macro-cpi,1551_Macro_CPI_2025_Contributions.csv,Definitions and audit,13,1354,df0c15536def125d2e3466860dd257d1264234803270c9109b244fb2d6e57d65,"Exact saved release records; presentation export, no new model estimation."
model-registry,1551_Model_Methods_And_Vintages.csv,Definitions and audit,4,1465,6957823e5c3d9a9df9fb8d7cf45737139756f223793f4bda40285f30ec343db2,"Exact saved release records; presentation export, no new model estimation."
fr-coverage,1551_FR_Delivery_Coverage.csv,Definitions and audit,36,14273,220394c9d6bc3dc97bbfdec80236226ff76d3d8e46db04c412626c2966d7845d,"Exact saved release records; presentation export, no new model estimation."
macro-input,1551_Ministry_Macro_Input_Collection_Template.csv,Input collection templates,12,3516,6679f0d50c62596ea97d45c7f9130046a81ae6c5779f92d17578676ec07d8aff,"Exact saved release records; presentation export, no new model estimation."
caem-input,1551_Ministry_CAEM_Input_Collection_Template.csv,Input collection templates,15,2168,da3013e9148c627558e19a533847294ce6fb875cee96500559e552ed11ef3898,"Exact saved release records; presentation export, no new model estimation."
oxlon-input,1551_Oxlon_Official_Input_Template.csv,Input collection templates,40,2944,82199908fe021ed9fce9321031a254a3e75b43b80d756f87b189dbfbe6bc959b,Existing data/templates/oxlon_official_input_template.csv; values remain blank.
dictionary,1551_Result_Data_Dictionary.csv,Definitions and audit,31,7050,d9afba65c087e739810e9a5c4131c4d27886c4b7ba500e14b1dda83b425d7747,"Exact saved release records; presentation export, no new model estimation."
