fr,requested_text_az,faithful_english,model_id,exported_records,distinct_series,missing_value_records,run_error_records,unresolved_unit_records,requirement_source,interpretation
FR4,AR-də istehsal olunan əsas məhsul növlərinin sahələr üzrə natural göstəricilərinin proqnozlaşıdırlması (o cümlədən aksizli məhsulların növləri üzrə) mümkün olmalıdır.,"Natural indicators of main products produced in Azerbaijan must be forecastable by branch, including excise-product types.",ministry_caem,220,44,26,0,90,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR4,AR-də istehsal olunan əsas məhsul növlərinin sahələr üzrə natural göstəricilərinin proqnozlaşıdırlması (o cümlədən aksizli məhsulların növləri üzrə) mümkün olmalıdır.,"Natural indicators of main products produced in Azerbaijan must be forecastable by branch, including excise-product types.",oxlon.corrected.20260917,3310,178,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR5,Neftin dünya bazarında qiymətinin proqnozlaşdırılması mümkün olmalıdır.,The world-market oil price must be forecastable.,ministry_macro,64,6,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR5,Neftin dünya bazarında qiymətinin proqnozlaşdırılması mümkün olmalıdır.,The world-market oil price must be forecastable.,ministry_caem,5,1,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR5,Neftin dünya bazarında qiymətinin proqnozlaşdırılması mümkün olmalıdır.,The world-market oil price must be forecastable.,oxlon.corrected.20260917,40,1,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR6,İnvestisiyaların strukturu və real artım sürətlərinin proqnozlaşdırılması mümkün olmalıdır.,Investment structure and real growth rates must be forecastable.,ministry_macro,253,21,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR6,İnvestisiyaların strukturu və real artım sürətlərinin proqnozlaşdırılması mümkün olmalıdır.,Investment structure and real growth rates must be forecastable.,ministry_caem,10,2,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR6,İnvestisiyaların strukturu və real artım sürətlərinin proqnozlaşdırılması mümkün olmalıdır.,Investment structure and real growth rates must be forecastable.,oxlon.corrected.20260917,735,40,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR7,"Mal və xidmətlərin idxalının və ixracının əsas göstəriciləri, onun strukturu, tədiyə balansının proqnozlaşdırılması mümkün olmalıdır.","Main goods/services import and export indicators and structure, and the balance of payments, must be forecastable.",ministry_macro,833,85,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR7,"Mal və xidmətlərin idxalının və ixracının əsas göstəriciləri, onun strukturu, tədiyə balansının proqnozlaşdırılması mümkün olmalıdır.","Main goods/services import and export indicators and structure, and the balance of payments, must be forecastable.",ministry_caem,80,16,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR7,"Mal və xidmətlərin idxalının və ixracının əsas göstəriciləri, onun strukturu, tədiyə balansının proqnozlaşdırılması mümkün olmalıdır.","Main goods/services import and export indicators and structure, and the balance of payments, must be forecastable.",oxlon.corrected.20260917,348,19,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR8,"Əhalinin pul gəlirləri, xərcləri və onların artım sürətlərinin təhlili və proqnazlaşdırılması mümkün olmalıdır.",Population monetary income and expenditure and their growth rates must be analysed and forecastable.,ministry_macro,448,30,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR8,"Əhalinin pul gəlirləri, xərcləri və onların artım sürətlərinin təhlili və proqnazlaşdırılması mümkün olmalıdır.",Population monetary income and expenditure and their growth rates must be analysed and forecastable.,ministry_caem,0,0,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR8,"Əhalinin pul gəlirləri, xərcləri və onların artım sürətlərinin təhlili və proqnazlaşdırılması mümkün olmalıdır.",Population monetary income and expenditure and their growth rates must be analysed and forecastable.,oxlon.corrected.20260917,3409,162,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR9,İstehlak qiymətlərinin orta illik indeksinin (inflyasiya) təhlili və proqnazlaşdırılması mümkün olmalıdır.,Average annual consumer-price index (inflation) must be analysed and forecastable.,ministry_macro,75,7,12,12,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR9,İstehlak qiymətlərinin orta illik indeksinin (inflyasiya) təhlili və proqnazlaşdırılması mümkün olmalıdır.,Average annual consumer-price index (inflation) must be analysed and forecastable.,ministry_caem,17,1,1,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR9,İstehlak qiymətlərinin orta illik indeksinin (inflyasiya) təhlili və proqnazlaşdırılması mümkün olmalıdır.,Average annual consumer-price index (inflation) must be analysed and forecastable.,oxlon.corrected.20260917,77,2,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR10,Milli valyutanın ABŞ dollarına və avroya nisbətdə orta illik məzənnəsinin təhlili və proqnazlaşdırılması mümkün olmalıdır.,Average annual national-currency exchange rates against USD and EUR must be analysed and forecastable.,ministry_macro,41,4,27,27,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR10,Milli valyutanın ABŞ dollarına və avroya nisbətdə orta illik məzənnəsinin təhlili və proqnazlaşdırılması mümkün olmalıdır.,Average annual national-currency exchange rates against USD and EUR must be analysed and forecastable.,ministry_caem,16,1,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR10,Milli valyutanın ABŞ dollarına və avroya nisbətdə orta illik məzənnəsinin təhlili və proqnazlaşdırılması mümkün olmalıdır.,Average annual national-currency exchange rates against USD and EUR must be analysed and forecastable.,oxlon.corrected.20260917,114,4,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR11,"Mal və xidmətlərin ticarət və tədiyə balansına görə idxalının və ixracının əsas göstəriciləri, onun struktur təhlili və proqnazlaşdırılması mümkün olmalıdır.",Main goods/services import/export indicators and structural analysis/forecasting according to trade and balance of payments must be possible.,ministry_macro,805,81,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR11,"Mal və xidmətlərin ticarət və tədiyə balansına görə idxalının və ixracının əsas göstəriciləri, onun struktur təhlili və proqnazlaşdırılması mümkün olmalıdır.",Main goods/services import/export indicators and structural analysis/forecasting according to trade and balance of payments must be possible.,ministry_caem,80,16,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR11,"Mal və xidmətlərin ticarət və tədiyə balansına görə idxalının və ixracının əsas göstəriciləri, onun struktur təhlili və proqnazlaşdırılması mümkün olmalıdır.",Main goods/services import/export indicators and structural analysis/forecasting according to trade and balance of payments must be possible.,oxlon.corrected.20260917,791,43,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR12,Tədiyə balansının təhlili və proqnazlaşdırılması mümkün olmalıdır.,The balance of payments must be analysed and forecastable.,ministry_macro,805,81,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR12,Tədiyə balansının təhlili və proqnazlaşdırılması mümkün olmalıdır.,The balance of payments must be analysed and forecastable.,ministry_caem,80,16,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR12,Tədiyə balansının təhlili və proqnazlaşdırılması mümkün olmalıdır.,The balance of payments must be analysed and forecastable.,oxlon.corrected.20260917,585,31,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
